GEOID_Data,B01001e1,STATEFIP,GEOID,PCT_Water,PCT_TC,CropCnt,PCT_OS,NumPixels,NDVI2019_500m,EVI2019_500m,INV_PCT_IMP_2016,NPARKS_16KM,INV_DIST_PARK_M,PctAccess402m_Parks,INV_DIST_BLUE_M,PctAccess402m_Bluespace,MeanLST_2019,M7_F1,M7_F2,M7_F3,MeanLST_2015_2019,M7_NatureIndex
14000US25003900100,2871,25,25003900100,0,5.08339273,1,2.371889384,1405,0.464652099,0.341335245,-74.20955096,4,-858.4405091,30.06557377,-680.9929819,32.59576512,23.98362989,47.31586649,39.73959352,48.21715138,31.6751575,135.2726114
14000US25003900200,4567,25,25003900200,7.678782932,11.8552795,2,0.752699524,1365,0.474855184,0.360091917,-59.00186335,3,-1132.098573,28.03430079,0,39.74360673,27.45347985,50.34723251,36.7867239,57.25097491,29.69319637,144.3849313
14000US25003900300,2671,25,25003900300,0.792342663,48.8122356,19,36.71389569,2788,0.632468673,0.509888483,-23.31142206,3,0,74.60956088,-626.312601,43.97113037,17.59038737,72.94101868,51.7886344,50.26653988,24.75253336,174.996193
14000US25003900600,3375,25,25003900600,3.276701486,31.4965035,9,18.55584355,1612,0.584541384,0.45830407,-39.5158371,4,-83.88100704,42.23466482,-70.43510661,81.81479213,18.87593052,62.22437865,48.08601193,60.20967092,27.88378545,170.5200615
14000US25005613800,5092,25,25005613800,2.173679849,13.1053719,1,1.292942827,1576,0.509253233,0.378097816,-67.6875,4,-126.9514911,28.69898324,-10.77974766,40.04155204,27.58883249,49.88948337,46.37000121,55.46215423,31.52397065,151.7216388
14000US25005614000,4828,25,25005614000,2.055206432,27.98134668,1,4.345053399,1752,0.525853356,0.389182633,-48.99408553,4,-275.6821227,43.76654122,-345.0670769,33.32624514,26.86015982,55.57452664,46.46172794,51.79985128,29.22110872,153.8361059
14000US25005631400,2868,25,25005631400,1.296006448,8.184684685,0,2.237511702,706,0.457250529,0.328514875,-73.10135135,1,-1053.401367,0,-219.9169937,30.6914488,33.78470255,47.68758827,34.33540894,52.31330552,33.80755161,134.3363027
14000US25005640100,4935,25,25005640100,30.25772473,18.01409224,24,0.224161689,2982,0.427511728,0.34148602,-32.65007321,6,-820.313809,17.50873982,-341.2577396,14.37405971,24.56606305,57.23746148,39.31930367,58.4809225,26.67872236,155.0376877
14000US25005640200,6142,25,25005640200,28.88521795,7.786038827,5,3.714912534,1248,0.36866246,0.275183665,-47.59025196,6,-612.6725052,54.64738382,0,51.84940083,27.77323718,50.66666489,44.8548412,65.34616469,30.07939505,160.8676708
14000US25005640300,3927,25,25005640300,0.107643067,12.38611545,0,0,1216,0.293384697,0.232335224,-68.36115445,3,-1491.281626,0,-524.3314508,40.18492551,28.21546053,46.21496835,30.73636857,50.47162013,30.05859867,127.422957
