GEOID_Data,B01001e1,STATEFIP,GEOID,LST_MeanC,LST_MaxC,NDVI2019_5,EVI2019_50,NPARKS_16K,PCT_OS,INV_DIST_P,INV_DIST_B,PCT_Water,PctAccess4,PctAcces_1,INV_PCT_IM,PCT_TC,CropCnt,M7_F1,M7_F2,M7_F3,M7_NatureI
14000US25003900100,2871,25,25003900100,23.983629893,37,57.03428644,57.08436917,38.30917235,45.08108848,36.4154592,46.42159561,45.09675061,44.49414902,53.13310793,42.62329005,43.75613626,48.0845312,47.31586649,39.73959352,48.21715138,135.2726114
14000US25003900200,4567,25,25003900200,27.453479853,35,57.75813589,58.9718378,37.63467686,43.46762082,28.8246134,63.7552535,52.34586998,43.90088144,55.65180125,52.34297523,49.33657603,48.8308546,50.34723251,36.7867239,57.25097491,144.3849313
14000US25003900300,2671,25,25003900300,17.590387374,32,68.93989483,74.04574434,37.63467686,79.30173055,60.22725351,47.81340292,45.84475802,57.50397282,57.14145871,75.1537971,79.7913185,61.5183524,72.94101868,51.7886344,50.26653988,174.996193
14000US25003900600,3375,25,25003900600,18.875930521,34,65.53973285,68.8548468,38.30917235,61.20784874,57.90052584,61.9624332,48.19010543,48.0483376,70.47647412,64.7970738,65.52211948,54.0551184,62.22437865,48.08601193,60.20967092,170.5200615
14000US25005613800,5092,25,25005613800,27.588832487,44,60.1984771,60.78375673,38.30917235,44.00595491,56.70581812,63.48087114,47.14880297,44.09501318,55.75678859,46.79172668,50.36672694,48.0845312,49.88948337,46.37000121,55.46215423,151.7216388
14000US25005614000,4828,25,25005614000,26.860159817,40,61.37615913,61.89921292,38.30917235,47.04727936,52.5802635,54.97208712,47.03695869,48.49574798,53.39050803,58.7392435,62.62541999,48.0845312,55.57452664,46.46172794,51.79985128,153.8361059
14000US25005631400,2868,25,25005631400,33.78470255,39,56.50918817,55.79426575,36.28568589,44.94718569,31.00755056,58.15759532,46.32023948,35.71299038,52.46208176,43.33157336,46.31178634,47.3382078,47.68758827,34.33540894,52.31330552,134.3363027
14000US25005640100,4935,25,25005640100,24.566063045,40,54.39939346,57.0995416,39.65816332,42.94095083,37.47303411,55.06904811,73.66141514,40.82671358,46.71230425,69.18518758,54.41180613,65.2499694,57.23746148,39.31930367,58.4809225,155.0376877
14000US25005640200,6142,25,25005640200,27.773237179,36,50.2243807,50.42758954,39.65816332,46.4193654,43.23267844,63.7552535,72.36570649,51.67368184,59.9175341,59.63647526,45.9832783,51.0698248,50.66666489,44.8548412,65.34616469,160.8676708
14000US25005640300,3927,25,25005640300,28.215460526,42,44.88386191,46.11578586,37.63467686,42.71758133,18.86143845,50.40918058,45.19837054,35.71299038,55.80730926,46.3611741,49.7740166,47.3382078,46.21496835,30.73636857,50.47162013,127.422957
14000US25005640400,2693,25,25005640400,26.28729963,36,42.36256176,42.98319861,38.98366783,44.95140623,37.25366914,55.28519424,49.75418841,35.71299038,46.15015413,49.25524361,48.6325654,47.3382078,46.50799696,37.31677579,50.39651226,134.221285
14000US25005640500,5065,25,25005640500,26.286672255,38,38.09936759,38.89619686,40.3326588,45.13788541,49.6457715,52.06211056,62.26215157,53.82094437,46.03909059,53.442649,46.31779697,48.0845312,46.21644603,47.93312489,53.45445091,147.6040218
14000US25005640600,4366,25,25005640600,25.5,34,47.49424318,45.92691936,41.00715429,45.12756965,57.93984085,47.02266839,45.09675061,47.15876657,46.34505592,39.42484646,44.42385393,47.3382078,44.7617442,48.70192057,46.15482497,139.6184897
14000US25005640700,2721,25,25005640700,24.534026465,31,52.95879558,52.04458469,40.3326588,49.36367448,53.82460444,44.11634049,45.09675061,44.74077089,41.6473,45.93941356,50.91154196,47.3382078,49.30232667,46.29934471,43.62013037,139.2218018
14000US25005640800,3977,25,25005640800,25.148381673,39,41.30268743,43.85101834,41.00715429,43.07073521,21.0142208,63.7552535,89.75146139,37.10279225,57.04149749,71.58375472,47.36971656,65.9962928,53.86463734,33.04138911,70.18273746,157.0887639
14000US25005640901,5986,25,25005640901,30.535006605,35,40.3757417,39.58793229,40.3326588,69.63870368,60.22725351,56.40573617,45.90285937,54.58538758,46.20951619,44.40611309,42.20490611,48.0845312,48.94199915,51.71509996,49.50603724,150.1631364
14000US25005641000,2408,25,25005641000,26.135667396,35,31.72111565,33.15976365,41.00715429,45.11357,40.73779046,63.7552535,74.90020972,47.33259508,61.57424086,52.97718565,40.89459343,47.3382078,43.6089345,43.02584661,66.74323469,153.3780158
14000US25005641101,1692,25,25005641101,27.98816568,35,40.21199509,38.51977128,42.35614526,42.71758133,37.82880326,49.61238138,45.09675061,35.71299038,41.6473,33.59636093,40.1681955,47.3382078,40.80646813,38.6326463,45.45214399,124.8912584
14000US25005641200,3205,25,25005641200,28.45404814,37,43.88024092,42.8255597,41.68164978,50.28900228,58.7922001,60.04584397,55.15101309,41.18161071,42.96944686,44.13582262,42.96022908,49.577178,46.16849458,47.21848686,52.72210131,146.1090827
14000US25005641300,5394,25,25005641300,27.453713123,35,48.6845239,48.16301392,38.98366783,50.90202876,46.23758288,46.87506708,45.09675061,45.09817324,41.6473,40.41678192,41.99398113,47.3382078,45.8671047,43.43980798,44.5397059,133.8466186
14000US25005641400,2596,25,25005641400,27.100869565,35,45.22325764,44.62810023,38.98366783,47.75202404,46.31082945,56.93827355,45.90697383,45.527471,60.38475144,42.41553534,47.30890976,47.3382078,46.00758691,43.60732276,54.4099996,144.0249093
14000US25005641500,2273,25,25005641500,27.245,32,46.84090855,47.37845505,36.96018137,42.71758133,44.30705171,49.51257287,45.09675061,51.41524879,41.6473,38.8040846,43.74845713,47.3382078,43.88984788,44.22749396,45.41887449,133.5362163
14000US25005641800,2020,25,25005641800,24.662650602,36,46.99934108,46.18620772,39.65816332,42.92534136,44.33131232,45.6420347,45.09675061,51.57835233,41.6473,47.19213062,50.98244011,47.3382078,47.08749219,45.18927599,44.1286951,136.4054633
14000US25005641900,2054,25,25005641900,27.100502513,32,43.54279332,42.58491703,41.00715429,43.18251702,47.75327875,46.91011677,45.09675061,35.71299038,41.6473,40.30136434,42.55639356,47.3382078,43.38425521,41.49114114,44.55138912,129.4267855
14000US25005642000,2802,25,25005642000,26.186740331,36,37.15835008,38.70631551,40.3326588,46.88608218,49.50923823,63.61645618,85.41583493,41.85387467,54.8318194,63.28603136,41.57956949,47.3382078,47.24964818,43.89859057,67.9547035,159.1029423
14000US25005642200,4304,25,25005642200,23.852941176,33,54.25454128,55.07934425,38.98366783,49.59256101,21.92455228,51.4642186,45.2251488,41.37241802,46.50860008,57.08198339,62.88712218,47.3382078,54.23088313,34.09354604,47.73265583,136.057085
14000US25005642400,2929,25,25005642400,24.390357698,34,55.94622053,57.72022736,38.98366783,54.91862292,39.1391068,42.25846334,45.09675061,38.05702379,41.6473,50.90761293,53.10140335,48.0845312,52.59167818,38.72659947,43.00083798,134.3191156
14000US25005650300,3373,25,25005650300,26.90952381,38,56.86045193,56.70818398,36.96018137,44.92816436,49.63830891,55.11053803,48.73775941,41.47046943,63.56050139,43.51943786,47.24395424,48.0845312,48.12730792,42.68965324,55.80293294,146.6198941
14000US25005650400,3393,25,25005650400,25.691970803,39,47.4599853,47.41238237,37.63467686,42.84648113,50.6348147,56.54606932,61.58947948,48.78679267,51.98386174,45.7320907,41.18531702,47.3382078,44.91241639,45.68542808,56.70647018,147.3043146
14000US25005650500,3092,25,25005650500,27.924050633,35,51.31932139,50.89165166,36.96018137,44.23968729,47.95600862,52.9064386,45.09675061,42.20953528,43.84951615,36.8678102,41.61564145,47.3382078,44.27613362,42.37524176,47.28423512,133.9356105
14000US25005650600,3169,25,25005650600,17.805699482,34,41.83253613,41.28343776,37.63467686,42.71758133,51.96915162,56.14737642,52.54876513,48.48863221,57.06078239,37.89265914,40.24555251,47.3382078,42.00530738,46.03082023,55.25230798,143.2884356
14000US25005650700,2369,25,25005650700,30.737931034,35,42.01780379,41.29016767,37.63467686,53.76543091,60.22725351,62.10987231,77.25615179,64.91967942,76.88441712,54.51240829,41.30804841,47.3382078,47.78837984,54.2605366,72.08348041,174.1323968
14000US25005650800,3623,25,25005650800,23.977375566,34,48.56349662,47.03927117,36.96018137,42.71758133,38.43510891,49.92053471,45.09675061,35.71299038,41.6473,38.88123869,42.55448784,47.3382078,44.01100246,37.03609356,45.55486177,126.6019578
14000US25005651001,2948,25,25005651001,20.170759244,34,66.67872392,69.00557255,36.28568589,42.73078146,7.31896321,58.09075008,45.72041287,36.22232598,45.04860991,69.67474439,66.11209556,63.7573226,61.79073358,26.60899169,49.61992429,138.0196496
14000US25005651100,4230,25,25005651100,23.591677503,32,51.4517333,49.95640902,36.28568589,42.71758133,25.26787617,44.5692122,45.09675061,35.71299038,41.6473,43.3696849,48.1622646,47.3382078,46.60789438,32.42218415,43.7710876,122.8011661
